Position: (1, 2), Direction: UP, Actions: MOVE_FORWARD, Score: 0
Position: (5, 7), Direction: DOWN, Actions: TURN_LEFT, Score: -1370
Position: (5, 6), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1380
Position: (5, 6), Direction: LEFT, Actions: TURN_RIGHT, Score: -1390
Position: (4, 6), Direction: LEFT, Actions: MOVE_FORWARD, Score: -1400
Position: (3, 6), Direction: LEFT, Actions: MOVE_FORWARD, Score: -1410
Position: (3, 6), Direction: DOWN, Actions: TURN_LEFT, Score: -1420
Position: (3, 5), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1430
Position: (3, 4), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1440
Position: (3, 3), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1450
Position: (3, 3), Direction: DOWN, Actions: SHOOT, Score: -1460
Position: (3, 3), Direction: DOWN, Actions: SHOOT, Score: -1560
Position: (3, 3), Direction: DOWN, Actions: SHOOT, Score: -1660
Position: (3, 2), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1760
Position: (3, 1), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1770
Position: (3, 1), Direction: LEFT, Actions: TURN_RIGHT, Score: -1780
Position: (3, 1), Direction: UP, Actions: TURN_RIGHT, Score: -1790
Position: (3, 2), Direction: UP, Actions: MOVE_FORWARD, Score: -1800
Position: (3, 3), Direction: UP, Actions: MOVE_FORWARD, Score: -1810
Position: (3, 4), Direction: UP, Actions: MOVE_FORWARD, Score: -1820
Position: (3, 5), Direction: UP, Actions: MOVE_FORWARD, Score: -1830
Position: (3, 6), Direction: UP, Actions: MOVE_FORWARD, Score: -1840
Position: (3, 6), Direction: RIGHT, Actions: TURN_RIGHT, Score: -1850
Position: (4, 6), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -1860
Position: (5, 6), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -1870
Position: (6, 6), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -1880
Position: (7, 6), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -1890
Position: (8, 6), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -1900
Position: (8, 6), Direction: DOWN, Actions: TURN_RIGHT, Score: -1910
Position: (8, 6), Direction: LEFT, Actions: TURN_RIGHT, Score: -1920
Position: (7, 6), Direction: LEFT, Actions: MOVE_FORWARD, Score: -1930
Position: (6, 6), Direction: LEFT, Actions: MOVE_FORWARD, Score: -1940
Position: (6, 6), Direction: DOWN, Actions: TURN_LEFT, Score: -1950
Position: (6, 5), Direction: DOWN, Actions: MOVE_FORWARD, Score: -1960
Position: (6, 5), Direction: LEFT, Actions: TURN_RIGHT, Score: -1970
Position: (5, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: -1980
Position: (4, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: -1990
Position: (4, 5), Direction: UP, Actions: TURN_RIGHT, Score: -2000
Position: (4, 5), Direction: RIGHT, Actions: TURN_RIGHT, Score: -2010
Position: (5, 5), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -2020
Position: (6, 5), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -2030
Position: (7, 5), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -2040
Position: (8, 5), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -2050
Position: (8, 5), Direction: DOWN, Actions: TURN_RIGHT, Score: -2060
Position: (8, 5), Direction: LEFT, Actions: TURN_RIGHT, Score: -2070
Position: (7, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: -2080
Position: (6, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: -2090
Position: (5, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: -2100
Position: (4, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: -2110
Position: (4, 5), Direction: DOWN, Actions: TURN_LEFT, Score: -2120
Position: (4, 4), Direction: DOWN, Actions: MOVE_FORWARD, Score: -2130
Position: (4, 3), Direction: DOWN, Actions: MOVE_FORWARD, Score: -2140
Position: (4, 2), Direction: DOWN, Actions: MOVE_FORWARD, Score: -2150
Position: (4, 1), Direction: DOWN, Actions: MOVE_FORWARD, Score: -2160
Position: (4, 1), Direction: LEFT, Actions: TURN_RIGHT, Score: -2170
Position: (4, 1), Direction: UP, Actions: TURN_RIGHT, Score: -2180
Position: (4, 2), Direction: UP, Actions: MOVE_FORWARD, Score: -2190
Position: (4, 3), Direction: UP, Actions: MOVE_FORWARD, Score: -2200
Position: (4, 4), Direction: UP, Actions: MOVE_FORWARD, Score: -2210
Position: (4, 5), Direction: UP, Actions: MOVE_FORWARD, Score: -2220
Position: (4, 5), Direction: RIGHT, Actions: TURN_RIGHT, Score: -2230
Position: (5, 5), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -2240
Position: (6, 5), Direction: RIGHT, Actions: MOVE_FORWARD, Score: -2250
Position: (6, 5), Direction: DOWN, Actions: TURN_RIGHT, Score: -2260
Position: (6, 4), Direction: DOWN, Actions: MOVE_FORWARD, Score: -2270
Position: (6, 4), Direction: DOWN, Actions: GRAB, Score: -2280
Position: (6, 4), Direction: RIGHT, Actions: TURN_LEFT, Score: 2710
Position: (7, 4), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2700
Position: (8, 4), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2690
Position: (8, 4), Direction: UP, Actions: TURN_LEFT, Score: 2680
Position: (8, 5), Direction: UP, Actions: MOVE_FORWARD, Score: 2670
Position: (8, 5), Direction: LEFT, Actions: TURN_LEFT, Score: 2660
Position: (7, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2650
Position: (6, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2640
Position: (5, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2630
Position: (4, 5), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2620
Position: (4, 5), Direction: DOWN, Actions: TURN_LEFT, Score: 2610
Position: (4, 4), Direction: DOWN, Actions: MOVE_FORWARD, Score: 2600
Position: (4, 3), Direction: DOWN, Actions: MOVE_FORWARD, Score: 2590
Position: (4, 2), Direction: DOWN, Actions: MOVE_FORWARD, Score: 2580
Position: (4, 2), Direction: RIGHT, Actions: TURN_LEFT, Score: 2570
Position: (5, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2560
Position: (6, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2550
Position: (7, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2540
Position: (8, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2530
Position: (8, 2), Direction: RIGHT, Actions: SHOOT, Score: 2520
Position: (9, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2420
Position: (10, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2410
Position: (10, 2), Direction: DOWN, Actions: TURN_RIGHT, Score: 2400
Position: (10, 1), Direction: DOWN, Actions: MOVE_FORWARD, Score: 2390
Position: (10, 1), Direction: LEFT, Actions: TURN_RIGHT, Score: 2380
Position: (9, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2370
Position: (8, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2360
Position: (7, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2350
Position: (6, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2340
Position: (5, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 2330
Position: (5, 1), Direction: UP, Actions: TURN_RIGHT, Score: 2320
Position: (5, 2), Direction: UP, Actions: MOVE_FORWARD, Score: 2310
Position: (5, 3), Direction: UP, Actions: MOVE_FORWARD, Score: 2300
Position: (5, 3), Direction: RIGHT, Actions: TURN_RIGHT, Score: 2290
Position: (6, 3), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2280
Position: (7, 3), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2270
Position: (7, 3), Direction: RIGHT, Actions: SHOOT, Score: 2260
Position: (7, 3), Direction: RIGHT, Actions: SHOOT, Score: 2160
Position: (8, 3), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2060
Position: (9, 3), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2050
Position: (10, 3), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 2040
Position: (10, 3), Direction: DOWN, Actions: TURN_RIGHT, Score: 2030
Position: (10, 3), Direction: LEFT, Actions: TURN_RIGHT, Score: 2020
Position: (10, 3), Direction: UP, Actions: TURN_RIGHT, Score: 2010
Position: (10, 3), Direction: RIGHT, Actions: TURN_RIGHT, Score: 2000
Position: (10, 3), Direction: DOWN, Actions: TURN_RIGHT, Score: 1990
Position: (10, 2), Direction: DOWN, Actions: MOVE_FORWARD, Score: 1980
Position: (10, 1), Direction: DOWN, Actions: MOVE_FORWARD, Score: 1970
Position: (10, 1), Direction: LEFT, Actions: TURN_RIGHT, Score: 1960
Position: (9, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1950
Position: (8, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1940
Position: (7, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1930
Position: (6, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1920
Position: (5, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1910
Position: (4, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1900
Position: (3, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1890
Position: (2, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1880
Position: (1, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 1870
Position: (1, 1), Direction: LEFT, Actions: CLIMB, Score: 1860
